First Name,Password,E-mail,University,Module1,Module2,Module3,Module4,Module5,Module6,Role,Slogan,Total Marks,Company Name,at1,at2,at3,at4,at5,at6,atTotal
Rich,s0964,rbrailsfordw@cbc.ca,Ecole Supérieure de Commerce de Clermont-Ferrand,60,58,47,44,93,96,Marketing Assistant,recontextualize distributed models,66.33,"Stracke, Walsh and Kilback",45,86,64,62,45,67,61.5
Jade,x8524},jluchellix@yandex.ru,John Wesley College,78,87,81,82,82,78,VP Accounting,monetize robust e-tailers,81.33,Stark Group,99,50,87,85,86,58,77.5
Normie,f4779o,nlaleveey@addthis.com,Auchi Polytechnic,52,97,41,79,94,48,Recruiter,streamline e-business portals,68.5,Kuhlman-Hagenes,74,56,98,64,73,69,72.33
Manda,a10686,mbrimacombez@github.io,University of Texas at Tyler,75,67,76,70,63,40,Marketing Manager,optimize out-of-the-box vortals,65.17,Howe-Zboncak,86,70,42,99,43,61,66.83
Emyle,r22564,eceney10@comsenz.com,Valdosta State University,95,48,68,51,46,98,Paralegal,embrace web-enabled web services,67.67,"Wuckert, Kris and Grant",92,42,80,75,61,77,71.17
Agretha,f3551tT8,acrittal11@yahoo.com,University of the West Indies St. Augustine,99,62,100,99,93,95,Technical Writer,drive clicks-and-mortar interfaces,91.33,"Nienow, Lindgren and Wilkinson",46,77,68,65,49,90,65.83
Kristan,g1028,kmingaud12@latimes.com,Our Lady of Fatima University,52,43,67,53,43,94,Human Resources Manager,productize innovative communities,58.67,"Mitchell, Von and Boyer",87,53,78,77,79,86,76.67
Brynna,q2866,bmaunton13@skype.com,Kansas State University,98,65,92,56,61,97,Office Assistant II,synthesize enterprise eyeballs,78.17,Rippin-Oberbrunner,98,85,46,55,45,89,69.67
Jesus,t9083,jennion14@weibo.com,Facultés Universitaires Saint-Louis,62,85,79,77,68,62,Chief Design Engineer,matrix 24/7 web services,72.17,"Crona, Langosh and Cartwright",44,61,64,42,45,95,58.5
Ethe,u1666,ecahani15@indiegogo.com,Universidad Femenina del Sagrado Corazón,97,55,51,84,57,94,Accountant II,harness dot-com methodologies,73,"Robel, Quitzon and Schulist",76,68,86,58,88,92,78
Beverly,a3344,babelevitz16@cmu.edu,Divine Word College,94,48,95,98,45,83,Automation Specialist I,evolve best-of-breed e-business,77.17,"Stiedemann, Hermann and Windler",94,61,78,90,100,40,77.17
Louella,g3607,lshelf17@amazon.co.uk,International University,48,71,43,52,52,76,Web Designer II,reinvent bricks-and-clicks experiences,57,Conn-Collier,54,85,52,77,47,62,62.83
Felicdad,g0014hO,fjansens18@nymag.com,Nagoya Economics University,58,84,42,70,45,55,Staff Scientist,generate e-business experiences,59,Waelchi Group,81,60,65,57,75,81,69.83
Hillard,i1642,hshelvey19@amazon.de,Université Robert Schuman (Strasbourg III),97,69,75,42,66,62,Electrical Engineer,integrate holistic applications,68.5,Murazik-Trantow,85,90,83,59,97,79,82.17
Emmalynn,d4123,eickovits1a@devhub.com,Antioch University Santa Barbara,72,86,72,90,65,98,Mechanical Systems Engineer,matrix dot-com convergence,80.5,Fisher LLC,97,43,91,49,95,94,78.17
Ethelin,w09954lz,eblasetti1b@digg.com,Chongju National University of Education,88,74,87,68,80,76,Registered Nurse,maximize extensible architectures,78.83,Bednar-Lemke,98,84,45,79,100,97,83.83
Ermin,u4661O#E,eshuttlewood1c@github.io,Government College University Lahore,43,66,91,70,74,86,Data Coordinator,reinvent vertical communities,71.67,Quigley and Sons,79,89,67,42,98,90,77.5
Miguelita,"g3754""FZ",mjenicek1d@gizmodo.com,Kirkwood Community College,56,70,92,52,53,75,Nuclear Power Engineer,incentivize cross-media applications,66.33,Dare and Sons,60,63,55,85,69,50,63.67
Martita,h4923.,mmeeson1e@cbsnews.com,Medical Academy in Lodz,92,51,58,69,46,59,Dental Hygienist,visualize visionary partnerships,62.5,"Feest, Weimann and Blanda",50,52,81,46,100,62,65.17
Carlin,p9503,cpantridge1f@europa.eu,Universidad Piloto de Colombia,90,43,76,84,72,74,Registered Nurse,cultivate sexy architectures,73.17,"Little, Muller and Schumm",66,97,100,90,83,59,82.5
Seka,e9643,sspooner1g@vinaora.com,Universitas Islam Malang,75,43,54,42,92,68,Office Assistant III,disintermediate cross-platform web services,62.33,Kautzer-Hagenes,57,47,81,48,59,76,61.33
Gawen,f1809H($,gmcphilip1h@123-reg.co.uk,Catholic University of Pusan,93,54,40,67,45,77,Staff Accountant III,scale user-centric web-readiness,62.67,Konopelski and Sons,93,47,56,71,62,99,71.33
Lainey,"a9612""",lwalles1i@shutterfly.com,Osaka University of Pharmaceutical Sciences,86,93,50,94,78,47,Mechanical Systems Engineer,innovate cross-media e-markets,74.67,"Satterfield, Wuckert and Reynolds",77,75,73,77,71,79,75.33
Margalit,z8326j,mganing1j@opensource.org,Hollins University,89,53,57,55,46,50,Geological Engineer,extend transparent bandwidth,58.33,Rau LLC,61,40,49,100,94,48,65.33
Silvia,c9255,ssicha1k@ehow.com,Nanjing Normal University,93,87,48,60,54,42,Software Consultant,mesh best-of-breed communities,64,Gorczany-Kiehn,83,41,96,47,92,99,76.33
Abba,g5147,aspinella1l@bandcamp.com,Regent College,84,85,68,76,65,84,Environmental Specialist,synthesize extensible e-business,77,Predovic-Upton,61,96,98,92,69,74,81.67
Avie,h0775Zx,alakenton1m@fotki.com,Universitas Pesantren Darul Ulum Jombang,57,89,93,62,89,96,Sales Associate,visualize transparent applications,81,"Block, Beatty and Roberts",76,98,57,100,41,47,69.83
Zorah,x0571r38,zclougher1n@github.io,University of Mosul,75,55,74,68,74,76,GIS Technical Architect,generate transparent convergence,70.33,Mertz-Murphy,75,70,44,46,52,93,63.33
Bethany,o1311,bbearcock1o@wunderground.com,Escuela Politécnica del Ejercito,86,97,66,98,76,68,Teacher,strategize turn-key niches,81.83,Mraz LLC,43,42,92,52,77,92,66.33
Jarrad,n1281,jdarragh1p@pbs.org,United Nations University,64,58,89,96,75,80,Account Executive,innovate best-of-breed convergence,77,"Jacobs, Effertz and Harvey",91,52,82,93,74,75,77.83
Aurelia,y6936&,apaulus1q@baidu.com,Yazd Medical University,85,84,41,73,91,48,Quality Engineer,grow cutting-edge schemas,70.33,"Swaniawski, Hills and Kunze",92,43,48,84,58,82,67.83
Ebonee,x3967EL,eneary1r@accuweather.com,Debrecen University of Agricultural Sciences,79,96,55,76,74,45,Civil Engineer,orchestrate cross-platform web services,70.83,Kunze-Satterfield,96,53,41,90,41,79,66.67
Benjy,i19008S,bbolitho1s@google.ca,Bunkyo University,71,63,54,44,90,88,Office Assistant I,enable vertical convergence,68.33,Haag-Reichel,82,69,53,72,59,82,69.5
Giusto,j0918,gfarans1t@webmd.com,Zachodniopomorska School of Science and Engineering,59,64,84,56,70,50,Marketing Assistant,aggregate B2C bandwidth,63.83,Bernier-Jenkins,73,56,88,64,63,83,71.17
Marleen,b58855A&,mpopland1u@xrea.com,Cambodia University of Specialties,98,87,90,73,60,90,Accountant II,utilize open-source metrics,83,"Krajcik, Smith and Koelpin",51,70,96,73,100,88,79.67
Cloe,n6803wnY,csteiner1v@dedecms.com,Universidad Mariano Egaña,61,66,77,89,43,43,Assistant Media Planner,deliver sexy methodologies,63.17,Bradtke LLC,50,87,54,82,72,42,64.5
Violetta,e9533,vrait1w@wordpress.com,Minsk Institute of Management,56,45,64,83,99,42,Operator,optimize ubiquitous bandwidth,64.83,Predovic-Hilpert,74,74,46,70,92,79,72.5
Noami,k7795TDS,nkrishtopaittis1x@java.com,Hiroshima Prefectural University,94,82,85,75,71,86,Health Coach IV,engage seamless niches,82.17,"Windler, Heller and Kling",99,68,95,88,62,49,76.83
Elmo,u01449,efahy1y@cocolog-nifty.com,Ohtani Women's University,85,99,41,95,51,60,Actuary,integrate rich schemas,71.83,Conn and Sons,40,87,87,82,57,56,68.17
Nollie,r9022,ndwerryhouse1z@miitbeian.gov.cn,"California State University, San Bernadino",47,53,70,100,80,42,Assistant Professor,whiteboard cutting-edge communities,65.33,"Pouros, Ziemann and Beer",80,99,100,88,64,51,80.33
North,i8633<6P,ncorkitt20@networkadvertising.org,Sultan Idris Shah Polytechnic,59,99,64,79,99,62,Help Desk Operator,benchmark rich e-services,77,Dickens-Stiedemann,95,94,71,65,43,88,76
Rudie,u2771,rtinwell21@economist.com,DCT International Hotel & Business Management School,55,86,84,74,56,44,Information Systems Manager,engineer dynamic initiatives,66.5,"Bogisich, Nolan and Hand",92,41,70,85,90,41,69.83
Alisun,x1112@,awain22@weather.com,Western Baptist College,85,89,76,88,79,99,Food Chemist,incentivize 24/7 partnerships,86,Simonis-Cormier,53,42,70,50,70,47,55.33
Stan,m3343,smarzelle23@themeforest.net,National University of Rwanda,89,59,86,67,44,90,Data Coordinator,transform proactive architectures,72.5,"Erdman, Huel and Legros",50,40,89,100,75,72,71
Gabriele,j7901SH,gsimion24@hhs.gov,"Rasmussen College, Illinois Campuses",50,53,75,77,83,43,Director of Sales,whiteboard 24/7 portals,63.5,Reinger-Carroll,100,77,91,51,100,83,83.67
Perry,c8206,ppolon25@cbslocal.com,European Academy of Arts in Warsaw,61,68,51,100,40,86,Senior Sales Associate,extend virtual metrics,67.67,Osinski-Johnston,57,81,66,81,99,79,77.17
Ava,v6982PG,ajentges26@irs.gov,Kebbi State University of Science and Technology,92,78,79,100,49,81,Nurse Practicioner,embrace scalable content,79.83,Abernathy-Parker,41,91,82,40,81,72,67.83
Glory,k4888,gcaltun27@delicious.com,Roanoke College,88,53,76,98,76,68,Financial Advisor,engineer robust applications,76.5,"Kirlin, Grant and Collins",98,54,60,72,67,80,71.83
Mart,t4850kln,mstickells28@jiathis.com,Palm Beach Atlantic University,59,60,53,44,73,74,Programmer Analyst I,leverage 24/7 e-tailers,60.5,Schmidt-Hagenes,60,51,44,93,79,45,62
Moritz,y4905&B,mgiorgeschi29@mapquest.com,Universidad Pedagógica y Tecnológica de Colombia,46,61,74,62,99,79,Librarian,recontextualize proactive niches,70.17,Moen-Rohan,72,84,73,100,90,43,77
Marcelle,y4641T,mboobyer2a@rakuten.co.jp,University of Dubuque,70,97,43,94,87,91,Programmer II,strategize frictionless partnerships,80.33,Schulist Inc,43,63,92,80,76,69,70.5
Caddric,z8697,ctreadaway2b@godaddy.com,Harbin Engineering University,69,51,47,74,100,72,Geologist I,e-enable efficient portals,68.83,Lubowitz-Metz,67,49,77,50,88,66,66.17
Adriana,s5082,anickerson2c@godaddy.com,Novosibirsk State Music Academy M. Glinka,44,62,40,61,65,100,Budget/Accounting Analyst IV,enable wireless infomediaries,62,"Ebert, Runolfsdottir and Swaniawski",79,91,41,77,66,92,74.33
Joelie,i9529,jmulliss2d@drupal.org,South-East Asia University,71,100,47,40,97,47,Research Nurse,utilize front-end metrics,67,Powlowski-Miller,61,99,79,89,54,69,75.17
Neely,s0277TB&,nlille2e@timesonline.co.uk,Universitas Islam Jakarta,92,80,53,64,51,79,Account Coordinator,cultivate revolutionary users,69.83,"Ledner, Upton and Johnston",92,64,56,95,45,100,75.33
Maisey,n2241,mmorgue2f@ow.ly,Third University of Rome,86,87,74,82,48,58,Systems Administrator IV,embrace customized bandwidth,72.5,"Klocko, Sawayn and Strosin",88,81,79,80,61,72,76.83
Harlen,c8830.$,hburrel2g@nasa.gov,Universitas Negeri Yogyakarta,60,93,84,76,99,83,Food Chemist,monetize world-class bandwidth,82.5,Moen LLC,47,58,49,42,48,51,49.17
Ring,p1808K,rforman2h@upenn.edu,Kerbala University,78,47,100,88,66,83,Environmental Specialist,streamline visionary models,77,"Gottlieb, Blick and Hermiston",94,49,80,48,75,72,69.67
Rob,y6952,rlemonby2i@newyorker.com,University of Central Texas,66,58,98,68,59,52,Design Engineer,whiteboard revolutionary mindshare,66.83,Beier-Kuhlman,99,40,46,82,67,52,64.33
Davide,"v9580+""",dlightowlers2j@prlog.org,Louisiana State University and Agricultural and Mechanical College,95,50,95,45,50,57,Help Desk Technician,orchestrate scalable e-tailers,65.33,Dach-Hickle,100,87,46,46,89,58,71
Sara-ann,k2420,spidcock2k@hhs.gov,Dilla University,48,55,44,61,85,60,Analog Circuit Design manager,empower user-centric applications,58.83,"Becker, Anderson and Bernier",48,80,72,76,46,71,65.5
Lek,o2433,lvalerius2l@1688.com,European University Cyprus,48,100,57,50,89,98,Analog Circuit Design manager,incentivize scalable action-items,73.67,Stark-Pfannerstill,67,42,62,66,65,85,64.5
Livy,i3961,lsheepy2m@devhub.com,Zimbabwe Open University,44,78,68,49,56,84,Community Outreach Specialist,maximize one-to-one synergies,63.17,"Marks, Schaden and Towne",51,73,47,56,88,90,67.5
Miller,f9987,mrobertot2n@wired.com,Bulacan State University,83,65,72,44,97,53,Staff Scientist,disintermediate interactive partnerships,69,Kemmer and Sons,45,44,100,64,94,99,74.33
Archaimbaud,m2633,amccathay2o@parallels.com,Universidad del Tolima,77,58,100,87,99,71,Graphic Designer,synthesize end-to-end relationships,82,"Pouros, Schultz and Hauck",59,45,100,62,66,96,71.33
Velma,w3878,vbaumler2p@salon.com,Etisalat University College,42,98,42,67,68,94,Geologist IV,implement value-added methodologies,68.5,Moen Inc,97,80,67,96,89,63,82
Marion,o9332\,mfirpo2q@unesco.org,Obirin University,70,87,41,71,76,68,Food Chemist,orchestrate robust relationships,68.83,Bradtke Inc,92,41,91,56,88,66,72.33
Debora,a6126,drocco2r@nature.com,Ewha Women's University,59,92,99,40,68,64,Director of Sales,brand cross-media models,70.33,Will Group,82,47,71,45,62,62,61.5
Eugen,y1061>i4,ebengtsson2s@redcross.org,Universitas Katolik Parahyangan,85,75,42,81,95,80,Media Manager IV,empower scalable solutions,76.33,Cremin-Renner,95,48,69,84,87,61,74
Dareen,c5350,dbarhims2t@buzzfeed.com,College of New Caledonia,44,59,50,97,87,70,Help Desk Operator,benchmark next-generation architectures,67.83,Hartmann-Medhurst,55,51,62,69,42,46,54.17
Seward,g2395,sblackshaw2u@barnesandnoble.com,Redeemer College,51,73,90,69,70,42,Help Desk Technician,expedite frictionless initiatives,65.83,McClure-Heidenreich,75,63,46,84,94,89,75.17
Roanna,d37326,rjaquin2v@salon.com,University of Texas of the Permian Basin,68,41,50,93,79,84,Dental Hygienist,morph mission-critical deliverables,69.17,Dach Group,52,94,45,98,61,40,65
Sandye,u90470OH,savrashin2w@mail.ru,Kinki University,79,77,76,94,71,73,Sales Associate,deploy dynamic web services,78.33,Morar-Mohr,71,90,61,41,93,86,73.67
Trevar,o9588,tkusick2x@usatoday.com,University of New Haven,44,66,58,91,59,67,Teacher,transform sexy infomediaries,64.17,VonRueden-Block,49,48,71,52,41,76,56.17
Caye,o8911Kg,cmiguet2y@cnn.com,Halmstad University College,67,56,78,73,72,71,Teacher,syndicate B2C supply-chains,69.5,"Dietrich, Mosciski and Sipes",44,76,88,74,42,67,65.17
Lucretia,v9516,lcarryer2z@merriam-webster.com,EMESCAM - Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória,68,49,85,43,95,63,Nuclear Power Engineer,redefine efficient methodologies,67.17,Altenwerth Group,56,97,64,94,57,44,68.67
Jarrett,l5827,jsteenson30@oaic.gov.au,Himachal Pradesh Agricultural University,56,89,66,47,91,75,VP Marketing,utilize viral bandwidth,70.67,Mante-Brakus,62,79,92,50,64,88,72.5
Brier,i2089,bizaac31@icio.us,Shanxi University,45,62,94,58,89,61,Accountant I,strategize plug-and-play eyeballs,68.17,Luettgen Group,49,89,87,60,91,87,77.17
Hertha,k0108,hziemens32@auda.org.au,Higher School o Business in Tarnow,77,78,85,70,77,73,Junior Executive,orchestrate B2C networks,76.67,Von-Hyatt,59,85,67,84,76,86,76.17
Xerxes,l9372cH,xcheyenne33@princeton.edu,Hamdard University,92,46,99,47,43,96,Technical Writer,incubate 24/365 networks,70.5,Corwin-Sporer,44,67,81,44,99,46,63.5
Tessi,e0546~n),tstorr34@spiegel.de,Universidad de La Serena,58,85,92,93,76,43,Accounting Assistant II,target synergistic e-services,74.5,Gusikowski-Halvorson,59,48,81,64,69,78,66.5
Vanny,u1481,vgosneye35@ocn.ne.jp,Kuala Lumpur Infrastructure University College,44,58,84,86,63,88,Quality Engineer,unleash frictionless synergies,70.5,Runte-Parisian,91,100,68,78,46,50,72.17
Cynthy,d9029jPP,cstanaway36@theatlantic.com,University of Portsmouth,50,94,68,72,78,57,Physical Therapy Assistant,utilize user-centric architectures,69.83,Howe and Sons,57,68,74,85,77,57,69.67
Jeromy,r0281IJ,jpretti37@php.net,"University of Virginia, College at Wise",75,49,73,54,99,40,Environmental Specialist,expedite strategic infomediaries,65,"Parisian, Douglas and Schamberger",81,77,91,52,42,50,65.5
Chris,j1705,cpenswick38@fema.gov,Universidad de Manizales,47,71,85,91,84,43,Financial Advisor,unleash revolutionary networks,70.17,Bartoletti Inc,94,42,77,86,88,49,72.67
Northrup,m0927C,nbeattie39@cafepress.com,Knox College,42,57,73,64,91,46,Accountant I,optimize collaborative action-items,62.17,Balistreri LLC,40,57,68,47,52,89,58.83
Lemmie,o0860,lsnailham3a@hhs.gov,Oman College Of Management & Technology,43,86,89,52,53,62,VP Marketing,benchmark user-centric niches,64.17,Wuckert Inc,54,53,87,82,45,66,64.5
Van,j1583Xf,verrett3b@sbwire.com,Ecole Supérieure d'Ingénieurs en Génie Electrique,60,43,72,58,83,56,Information Systems Manager,expedite vertical web services,62,"Gutmann, Cassin and Tremblay",51,57,97,78,56,97,72.67
Theresita,h6316C,tkleinberer3c@naver.com,Smolensk State Medical Academy,78,67,71,90,78,76,Recruiter,grow scalable functionalities,76.67,Hudson-Schmidt,70,94,51,43,97,61,69.33
Amity,i3919,asearchwell3d@paypal.com,Universidad Nacional Siglo XX Llallagua,51,71,63,61,58,54,Design Engineer,strategize killer content,59.67,"Watsica, Bins and Ryan",90,85,56,47,79,75,72
Stacy,h0757,ssabbatier3e@answers.com,Universitat de les Illes Balears,49,43,80,54,50,72,Structural Analysis Engineer,embrace virtual web services,58,Jones Group,46,82,90,58,80,48,67.33
Vaclav,"g8952""Ax",vzebedee3f@vimeo.com,North Ossetian State University,69,84,59,81,46,45,General Manager,productize dot-com systems,64,"Doyle, Runolfsdottir and Bogan",57,83,90,78,49,65,70.33
Ulrike,t1445,upryer3g@fema.gov,Universidad Arcis,49,63,82,93,89,70,Project Manager,deliver open-source eyeballs,74.33,Lowe-Kreiger,46,78,56,81,51,76,64.67
Bertrando,h4194,bgalego3h@loc.gov,Odense University,50,56,94,75,56,62,Teacher,evolve plug-and-play mindshare,65.5,White-Yundt,75,54,40,43,80,56,58
Felipe,y9851Xq~,fpalomba3i@nsw.gov.au,Universitas Lancang Kuning,75,71,90,43,48,90,Project Manager,brand next-generation interfaces,69.5,Nitzsche-Schaefer,76,98,47,90,41,77,71.5
Wyn,d0058,wrelton3j@istockphoto.com,Reformed Bible College,47,48,67,48,95,89,Biostatistician III,drive interactive markets,65.67,"Tremblay, D'Amore and Gutkowski",55,92,52,91,57,45,65.33
Korney,j4056=i,kaim3k@illinois.edu,Universidad Nacional Experimental de la Fuerza Armada,53,80,64,42,90,73,Structural Analysis Engineer,drive seamless ROI,67,"Goldner, Murazik and Kassulke",42,73,83,47,91,82,69.67
Jay,y8071s~W,jmeadmore3l@gravatar.com,Friedrich-Alexander Universität Erlangen-Nürnberg,95,70,98,52,63,88,Information Systems Manager,synthesize web-enabled communities,77.67,Schumm Group,74,52,48,92,54,99,69.83
Ramsay,q4619,rcains3m@stanford.edu,Universidad Champagnat,84,71,77,82,61,73,Research Nurse,generate plug-and-play metrics,74.67,Zboncak and Sons,57,57,97,61,43,44,59.83
Merwin,s9783D+,mgullyes3n@nsw.gov.au,Polytechnical University of Kabul,56,53,83,81,42,49,Web Developer III,facilitate bleeding-edge mindshare,60.67,Schaefer Inc,82,77,73,99,76,87,82.33
Coletta,i4820,cslucock3o@chron.com,Institut Supérieure d'Electronique de Paris,47,99,59,60,53,74,Automation Specialist IV,recontextualize vertical systems,65.33,Dach-Becker,44,51,50,62,44,74,54.17
Garrot,y053260,galiberti3p@twitpic.com,Detroit College of Business - Warren,52,97,40,66,77,53,Marketing Assistant,scale revolutionary applications,64.17,Ankunding Group,43,66,51,83,67,93,67.17
Tiffanie,x2008,thaliburn3q@whitehouse.gov,Capitol University,65,79,58,91,64,77,Web Developer III,engineer magnetic e-markets,72.33,Carroll LLC,100,43,81,99,55,42,70
Roch,m3797,rcumming3r@amazon.co.uk,Umutara Polytechnic,67,50,42,74,41,51,Recruiter,incentivize real-time solutions,54.17,"Tromp, Rutherford and Langworth",65,73,49,61,70,40,59.67
Prue,x2298f'8,pcosh3s@w3.org,Wellspring University,41,46,90,90,73,71,Data Coordinator,facilitate killer relationships,68.5,"Stark, Schneider and Rodriguez",97,78,99,47,54,64,73.17
Ax,w4340dk,aliddiard3t@blogger.com,Technological University (Lashio),59,48,51,84,83,71,Civil Engineer,optimize bleeding-edge ROI,66,Hane Inc,92,54,65,68,45,90,69
Ossie,j6690PDa,obiagi3u@kickstarter.com,Fachhochschule Kärnten,48,51,85,61,42,90,Compensation Analyst,evolve cross-media networks,62.83,"Walker, Littel and Turner",83,43,55,63,91,84,69.83
Margaretha,q2983n*F,mrainsbury3v@china.com.cn,Moscow State University of Geodesy and Cartography,80,84,40,72,97,67,Safety Technician II,synthesize collaborative metrics,73.33,Stokes LLC,58,73,81,73,68,68,70.17
